P-CAD Pick and Place Locations     D:\lay-data\...\JS203-16-B01_01.pcb

======================================================================

Report Origin = (0.0, 0.0)
Units used = mil
RefDes          PatternName     Type            Value           Layer           LocationX  LocationY  Rotation
R10             R0603Q          R0603Q          75R             Bottom              5830.0     4430.0    270.0
R11             R0603Q          R0603Q          2.32K           Top                 5895.0     5635.0     90.0
R12             R0603Q          R0603Q          10K             Bottom              5915.0     5765.0      0.0
R13             R0603Q          R0603Q          10K             Bottom              5915.0     5825.0      0.0
R14             R0603Q          R0603Q          OPEN            Top                 5630.0     5585.0    180.0
R15             R0603Q          R0603Q          OPEN            Top                 5630.0     5520.0    180.0
R16             R0603Q          R0603Q          OPEN            Top                 5630.0     5425.0    180.0
R17             R0603Q          R0603Q          OPEN            Top                 5630.0     5360.0    180.0
R18             R0603Q          R0603Q          OPEN            Top                 5510.0     5740.0    270.0
R19             R0603Q          R0603Q          OPEN            Top                 5630.0     5295.0      0.0
R20             R0603Q          R0603Q          22R             Top                 5475.0     4290.0     90.0
R21             R0603Q          R0603Q          0R              Top                 5445.0     5740.0    270.0
R22             R0603Q          R0603Q          22R             Top                 5545.0     4290.0     90.0
R23             R0603Q          R0603Q          0R              Top                 5380.0     5740.0    270.0
R24             R0603Q          R0603Q          OPEN            Bottom              5340.0     5430.0     90.0
R25             R0603Q          R0603Q          OPEN            Bottom              5405.0     5430.0     90.0
R26             R0603Q          R0603Q          0R              Bottom              5340.0     5300.0    270.0
R27             R0603Q          R0603Q          0R              Bottom              5405.0     5300.0    270.0
R28             R0603Q          R0603Q          200K            Top                 4755.0     4855.0    270.0
R29             R0603Q          R0603Q          330R            Top                 4785.0     4495.0    270.0
R30             R0603Q          R0603Q          OPEN            Top                 4840.0     5685.0    270.0
R31             R0603Q          R0603Q          33R             Top                 4725.0     4495.0    270.0
R32             R0603Q          R0603Q          33R             Top                 4600.0     5750.0    180.0
R33             R0603Q          R0603Q          200K            Bottom              4720.0     5685.0    270.0
R34             R0603Q          R0603Q          330R            Top                 4600.0     5685.0    180.0
R35             R0603Q          R0603Q          OPEN            Top                 4905.0     5685.0     90.0
R36             R0603Q          R0603Q          0R              Top                 4660.0     4365.0     90.0
R37             R0603Q          R0603Q          OPEN            Top                 4660.0     4495.0    270.0
R38             R0603Q          R0603Q          1K              Top                 4940.0     4575.0    270.0
R39             R0603Q          R0603Q          6.8K            Top                 4895.0     4460.0    180.0
R40             R0603Q          R0603Q          1K              Top                 5010.0     4575.0    270.0
R41             R0603Q          R0603Q          6.8K            Top                 5010.0     4440.0    270.0
R42             R0603Q          R0603Q          10K             Bottom              4295.0     5315.0      0.0
R43             R0603Q          R0603Q          10K             Bottom              4295.0     5255.0      0.0
R44             R0603Q          R0603Q          OPEN            Bottom              4295.0     5195.0      0.0
R45             R0603Q          R0603Q          10K             Top                 4255.0     5725.0     90.0
R46             R0603Q          R0603Q          OPEN            Top                 4190.0     5725.0     90.0
R47             R0603Q          R0603Q          OPEN            Top                 4125.0     5725.0     90.0
R48             R0603Q          R0603Q          10K             Top                 4075.0     5355.0      0.0
R49             R0603Q          R0603Q          10K             Top                 4075.0     5420.0    180.0
R50             R0603Q          R0603Q          1K              Bottom              4600.0     5335.0    180.0
R51             R0603Q          R0603Q          10K             Top                 4075.0     5485.0    180.0
R52             R0603Q          R0603Q          10K             Top                 4075.0     5550.0    180.0
R53             R0603Q          R0603Q          10K             Top                 4755.0     5405.0    180.0
R54             R0603Q          R0603Q          OPEN            Top                 4075.0     5615.0      0.0
R55             R0603Q          R0603Q          OPEN            Top                 4755.0     5340.0      0.0
R56             R0603Q          R0603Q          10K             Top                 4755.0     5470.0    180.0
R57             R0603Q          R0603Q          OPEN            Top                 4755.0     5535.0      0.0
R58             R0603Q          R0603Q          OPEN            Top                 4190.0     5575.0    270.0
R59             R0603Q          R0603Q          10K             Top                 4255.0     5575.0     90.0
R60             R0603Q          R0603Q          OPEN            Bottom              4600.0     5410.0      0.0
R61             R0603Q          R0603Q          10K             Top                 4510.0     5575.0     90.0
R62             R1206Q          R1206Q          0R              Bottom              5355.0     4200.0    180.0
R63             R0603Q          R0603Q          330R            Top                 5945.0     5070.0    180.0
R64             R0603Q          R0603Q          330R            Top                 4370.0     4320.0      0.0
U1              SSOP28          SSOP28          ENC28J60        Top                 6148.6     5527.3    270.0
U2              SPM44-11BP      SPM44-11BP      SPM44-11BP      Top                 5578.0     4695.0      0.0
U3              TQFP48          TQFP48          CM6533          Top                 5331.7     5450.2    180.0
U4              SOT89           SOT89           HT7533          Bottom              4225.0     4760.0     90.0
U5              QFN56-8X8       QFN56-8X8       MAX9708         Top                 4470.0     5230.0     90.0
Y1              X-O3225         X-O3225         25MHz           Top                 6085.0     5185.0    270.0
