P-CAD Pick and Place Locations     D:\lay-data\...\JS203-16-C01_02.pcb

======================================================================

Report Origin = (0.0, 0.0)
Units used = mil
RefDes          PatternName     Type            Value           Layer           LocationX  LocationY  Rotation
LED53           LED0603B        LED0603B        0603            Top                12598.4     5421.7      0.0
LED54           LED0603B        LED0603B        0603            Top                13385.8     5601.9      0.0
LED55           LED0603B        LED0603B        0603            Top                13385.8     5421.7      0.0
LED56           LED0603B        LED0603B        0603            Top                14173.2     5601.9      0.0
LED57           LED0603B        LED0603B        0603            Top                14173.2     5421.7      0.0
LED58           LED0603B        LED0603B        0603            Top                15283.5     7165.4    270.0
LED59           LED0603B        LED0603B        0603            Top                15543.3     7165.4    270.0
LED60           LED0603B        LED0603B        0603            Top                15283.5     6023.6    270.0
LED61           LED0603B        LED0603B        0603            Top                15543.3     6023.6    270.0
LED62           LED0603B        LED0603B        0603            Top                14889.8     5511.8    270.0
LED63           LED0603B        LED0603B        0603            Top                15149.6     5511.8    270.0
LED64           LED0603B        LED0603B        0603            Top                15677.2     5511.8    270.0
LED65           LED0603B        LED0603B        0603            Top                15937.0     5511.8    270.0
LED66           LED0603B        LED0603B        0603            Top                15280.8     7736.7    270.0
LED67           LED0603B        LED0603B        0603            Top                15546.0     7736.7    270.0
LED68           LED0603B        LED0603B        0603            Top                14842.0     7298.3      0.0
LED69           LED0603B        LED0603B        0603            Top                14842.0     7032.8      0.0
LED70           LED0603B        LED0603B        0603            Top                15280.8     6594.0    270.0
LED71           LED0603B        LED0603B        0603            Top                15546.0     6593.6    270.0
LED72           LED0603B        LED0603B        0603            Top                15984.8     7298.0      0.0
LED73           LED0603B        LED0603B        0603            Top                15984.8     7032.8      0.0
LED74           LED0603B        LED0603B        0603            Top                16653.5     7955.7      0.0
LED75           LED0603B        LED0603B        0603            Top                16653.5     7792.3      0.0
LED76           LED0603B        LED0603B        0603            Top                16653.5     7168.3      0.0
LED77           LED0603B        LED0603B        0603            Top                16653.5     7004.9      0.0
LED78           LED0603B        LED0603B        0603            Top                16653.5     6380.9      0.0
LED79           LED0603B        LED0603B        0603            Top                16653.5     6217.5      0.0
LED80           LED0603B        LED0603B        0603            Top                16653.5     5593.5      0.0
LED81           LED0603B        LED0603B        0603            Top                16653.5     5430.1      0.0
LED82           LED0603B        LED0603B        0603            Top                11753.3     7874.0    270.0
LED83           LED0603B        LED0603B        0603            Top                11868.7     7874.0    270.0
LED84           LED0603B        LED0603B        0603            Top                11671.9     5413.4    270.0
LED85           LED0603B        LED0603B        0603            Top                11950.3     5413.4    270.0
LED86           LED0603B        LED0603B        0603            Top                13328.1     5511.8    270.0
LED87           LED0603B        LED0603B        0603            Top                13443.5     5511.8    270.0
LED88           LED0603B        LED0603B        0603            Top                15413.4     6153.5      0.0
LED89           LED0603B        LED0603B        0603            Top                15413.4     5893.7      0.0
Q1              SOT23           SOT23           PNP             Bottom             14540.0     7970.0    270.0
Q2              SOT23           SOT23           PNP             Bottom             14505.0     7495.0    270.0
Q3              SOT23           SOT23           PNP             Bottom             14515.0     6785.0    270.0
Q4              SOT23           SOT23           PNP             Bottom             14515.0     6525.0    270.0
Q5              SOT23           SOT23           PNP             Bottom             14540.0     5495.0    270.0
Q6              SOT23           SOT23           PNP             Bottom             16105.0     5400.0    270.0
Q7              SOT23           SOT23           PNP             Bottom             15945.0     7765.0    270.0
Q8              SOT23           SOT23           PNP             Bottom             16315.0     7955.0     90.0
Q9              SOT23           SOT23           PNP             Bottom             15375.0     5415.0    270.0
R1              R0603Q          R0603Q          200R            Bottom             11690.0     8645.0    180.0
R2              R0603Q          R0603Q          200R            Bottom             11690.0     8575.0    180.0
R3              R0603Q          R0603Q          200R            Bottom             12220.0     8645.0      0.0
R4              R0603Q          R0603Q          200R            Bottom             12220.0     8575.0      0.0
R5              R0603Q          R0603Q          200R            Bottom             12890.0     8645.0      0.0
R6              R0603Q          R0603Q          200R            Bottom             12890.0     8575.0      0.0
R7              R0603Q          R0603Q          200R            Bottom             13555.0     8625.0      0.0
R8              R0603Q          R0603Q          200R            Bottom             13555.0     8560.0      0.0
R9              R0603Q          R0603Q          200R            Bottom             13235.0     8575.0      0.0
R10             R0603Q          R0603Q          200R            Bottom             13235.0     8640.0      0.0
R11             R0603Q          R0603Q          200R            Bottom             14910.0     8645.0      0.0
R12             R0603Q          R0603Q          200R            Bottom             14910.0     8580.0      0.0
R13             R0603Q          R0603Q          200R            Bottom             15565.0     8645.0      0.0
R14             R0603Q          R0603Q          200R            Bottom             15565.0     8585.0      0.0
R15             R0603Q          R0603Q          200R            Bottom             12580.0     8640.0      0.0
R16             R0603Q          R0603Q          200R            Bottom             12580.0     8575.0      0.0
R17             R0603Q          R0603Q          1k              Bottom             16580.0     5935.0     90.0
R18             R0603Q          R0603Q          10K             Bottom             16520.0     5935.0    270.0
R19             R0603Q          R0603Q          10K             Bottom             16110.0     7565.0    270.0
R20             R0603Q          R0603Q          10K             Bottom             16170.0     7565.0    270.0
R21             R0603Q          R0603Q          10K             Bottom             16230.0     7565.0    270.0
R22             R0603Q          R0603Q          10K             Bottom             16290.0     7565.0    270.0
R23             R0603Q          R0603Q          10K             Bottom             16350.0     7565.0    270.0
R24             R0603Q          R0603Q          10K             Bottom             16410.0     7565.0    270.0
R25             R0603Q          R0603Q          10K             Bottom             16470.0     7565.0    270.0
